Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Prueba,M_F,Fecha,Piscina,Competicion,Lugar,Edad,Temporada,Time_stamp
18,"MARTINEZ GOMEZ, Anibal",12,E.M. El Olivar,1:50.54,83,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:50.540
19,"URGEL TABOADA, Iker",12,C.N. Helios,1:51.12,82,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:51.120
20,"GARCIA GUO, Lucas",12,C.N. Helios,1:51.53,81,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:51.530
21,"ENGUITA GARCILOPE, Asier",12,Stadium Venecia,1:56.38,71,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:56.380
22,"BAGUENA ANTON, Jacobo",12,Stadium Venecia,1:56.72,70,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:56.720
23,"RAMIREZ GIL, Samuel",12,E.M. El Olivar,1:58.02,68,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:58.020
24,"CUEZVA JORDAN, Diego",12,Stadium Venecia,2:04.16,58,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:04.160
25,"MOLINA GALIANO, Jorge",12,E.M. El Olivar,2:05.50,57,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:05.500
26,"ARRUGA MECUCCI, Leonardo",12,C.N. Helios,2:14.20,46,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:14.200
27,"TAULES GINER, Mario",12,E.M. El Olivar,2:14.39,46,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:14.390
1,"MODREGO MARQUETA, Alejandro",11,Stadium Venecia,2:52.86,228,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:52.860
2,"ANGUAS FELIZ, Aquiles",11,E.M. El Olivar,2:56.70,213,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:56.700
3,"BELTRAN VIEJO, Arturo",11,E.M. El Olivar,2:58.06,208,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:58.060
4,"SERRABLO HUESO, Diego",11,Stadium Venecia,2:58.07,208,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:58.070
5,"LOPEZ VELEZ, Marcos",11,E.M. El Olivar,2:58.16,208,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:02:58.160
6,"SANCHO GRAUS, Bruno",11,E.M. El Olivar,3:04.09,188,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:04.090
7,"TATARU, Adrian Stefan",11,E.M. El Olivar,3:05.16,185,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:05.160
8,"ANTONENKO ANTONENKO, Yehor",11,H2ogo C.N.,3:05.72,183,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:05.720
9,"RODRIGUEZ ARTIEDA, Marcelo",11,C.N. Helios,3:05.98,183,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:05.980
10,"MARCO LOPEZ, Leo",11,C.N. Helios,3:07.32,179,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:07.320
11,"BEAMONTE MARTIN, Diego",11,P. San Agustin,3:07.33,179,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:07.330
12,"CAVERO GARCIA, Daniel",11,Stadium Casablanca,3:09.22,173,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:09.220
13,"LAFUENTE GARCIA, Victor",11,C.N. Helios,3:09.69,172,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:09.690
14,"NAVARRO PARDOS, Francisco",11,H2ogo C.N.,3:19.21,149,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:19.210
15,"POLO MARTINEZ, Nicolas",11,C.N. Helios,3:20.41,146,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:20.410
16,"GARCIA DE LA SERNA, Alejandro",11,C.N. Helios,3:26.12,134,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:26.120
17,"ALCALDE MARTINEZ, Martin",11,C.N. Helios,3:26.54,133,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:26.540
18,"BORROY SANCHEZ, Martin",11,Stadium Casablanca,3:33.26,121,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:33.260
19,"ABAD PELLEJERO, Pablo",11,Stadium Casablanca,3:35.73,117,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:03:35.730
20,"LOPEZ MEJIAS, Marcos",11,Stadium Casablanca,4:06.69,78,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:04:06.690
21,"QUINTANILLA CARBAJO, Amaro",11,H2ogo C.N.,4:07.89,77,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:04:07.890
22,"JIMENEZ VICO, Pedro",11,C.N. Helios,4:17.10,69,200m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:04:17.100
1,"LERSUNDI GOMEZ, Mia",14,E.M. El Olivar,1:37.92,176,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:37.920
2,"SALUDAS TRICAS, Carlota",14,E.M. El Olivar,1:42.10,155,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:42.100
3,"BARRACHINA ARTAZCOZ, Ane",14,E.M. El Olivar,1:46.06,138,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:46.060
4,"SCHROPFER CALVO, Adriana",14,H2ogo C.N.,1:46.36,137,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:46.360
5,"GIMENO MONREAL, Victoria",14,E.M. El Olivar,1:49.04,127,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:49.040
6,"VELA GARCIA, Julia",14,Stadium Venecia,1:49.45,126,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:49.450
7,"FERNANDEZ ELIAS, Jimena",14,E.M. El Olivar,1:49.48,126,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:49.480
8,"BAGUENA ANTON, Carmen",14,Stadium Venecia,1:53.09,114,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:53.090
9,"MARTINEZ DE SALINAS PEÑA, Candela",14,E.M. El Olivar,1:53.53,113,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:53.530
10,"ADIEGO PARDILLOS, Ursula",14,E.M. El Olivar,1:54.59,109,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:54.590
11,"SARIÑENA SIMON, Lola",14,Stadium Venecia,1:55.05,108,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:55.050
12,"RUBIO GONZALEZ, Martina",14,P. San Agustin,1:55.06,108,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:55.060
13,"DIEZ FERNANDEZ, Almudena",14,H2ogo C.N.,1:56.02,105,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:56.020
14,"SANCHEZ DUARTE, Eleonor",14,Stadium Venecia,1:57.16,102,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:01:57.160
15,"BUENO RODRIGO, Laura",14,H2ogo C.N.,2:00.06,95,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:00.060
16,"HERNANDO TRANCHE, Vega",14,Stadium Venecia,2:00.85,93,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:00.850
17,"BUENO RODRIGO, Alicia",14,H2ogo C.N.,2:01.45,92,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:01.450
18,"BAIGES FERNANDEZ, Anna",14,P. San Agustin,2:01.70,91,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:01.700
19,"SANCHEZ ROYO, Sofia",14,E.M. El Olivar,2:02.73,89,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:02.730
20,"BENITEZ CABEZUDO, Leonor",14,E.M. El Olivar,2:07.16,80,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:07.160
21,"CABRERIZO VELA, Carla",14,Stadium Venecia,2:08.16,78,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:08.160
22,"LOPEZ HERNANDEZ, Paola",14,C.N. Iz Cuarte,2:10.36,74,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:10.360
23,"POLO BELLIDO, Daniela",14,E.M. El Olivar,2:10.69,74,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:10.690
24,"MORENO LLORENTE, Vega",14,C.N. Iz Cuarte,2:12.76,70,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:12.760
25,"GOMEZ PEREZ, Sofia",14,Stadium Venecia,2:38.75,41,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:38.750
26,"CHINORIAS ORTIN, Alba",14,C.N.Pedro Franco,2:39.66,40,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:39.660
27,"GUAJARDO ESCUSOL, Alodia",14,H2ogo C.N.,2:42.72,38,100m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,9,2022-2023,1900-01-01 00:02:42.720
1,"RODRIGUEZ SOLANAS, Ines",13,E.M. El Olivar,3:14.02,230,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:14.020
2,"PEREZ GARCIA, Leyre",13,C.D. Piratas Teruel,3:20.73,208,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:20.730
3,"MALO SANCHEZ, Paula",13,C.N. Helios,3:22.86,201,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:22.860
4,"GAINSINSKY CASTILLO, Michelle",13,C.N. Helios,3:23.60,199,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:23.600
5,"MALON CANTIN, Sofia",13,C.N. Helios,3:23.76,198,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:23.760
6,"MARTIN SORIA, Claudia",13,Stadium Venecia,3:24.98,195,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:24.980
7,"DEL BARRIO MIGUEL, Vera",13,Stadium Venecia,3:32.07,176,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:32.070
8,"GIMENO GOMEZ, Yaretzi Izel",13,P. San Agustin,3:37.89,162,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:37.890
9,"RODRIGO LORENTE, Claudia",13,Stadium Venecia,3:41.41,155,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:41.410
10,"LEAL PELEGRIN, Julieta",13,E.M. El Olivar,3:41.76,154,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:41.760
11,"MARTINEZ MARQUES, Aimar Teresa",13,Stadium Venecia,3:42.06,153,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:42.060
12,"PEREZ LAHUERTA, Candela",13,C.N. Helios,3:43.97,149,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:43.970
13,"ALONSO TELLERIA, Marina",13,P. San Agustin,3:44.73,148,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:44.730
14,"BORREGUERO PEDREIRA, Leire",13,E.M. El Olivar,3:45.75,146,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:45.750
15,"SALUEÑA LUCHA, Vera",13,C.N. Helios,3:48.41,141,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:48.410
16,"RODRIGO MONFORTE, Lucia",13,E.M. El Olivar,3:48.41,141,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:48.410
17,"ZAPATA FERNANDEZ, Jara",13,Stadium Venecia,3:51.76,135,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:51.760
18,"SEGURA GRACIA, Silvia",13,E.M. El Olivar,3:55.98,128,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:55.980
19,"REMACHA ROYO, Itziar",13,E.M. El Olivar,3:59.29,122,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:59.290
20,"ABAD PELLEJERO, Ines",13,Stadium Casablanca,3:59.31,122,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:59.310
21,"MARIN PELEGRIN, Julia",13,H2ogo C.N.,4:04.82,114,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:04.820
22,"PEREZ BOSQUED, Nuria",13,Stadium Venecia,4:06.60,112,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:06.600
23,"MARIN PELEGRIN, Sara",13,H2ogo C.N.,4:13.38,103,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:13.380
24,"NACHER PEREZ, Laia",13,C.N. Iz Cuarte,4:21.57,94,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:21.570
25,"ARANDA ARIAS, Marta",13,C.N. Iz Cuarte,4:25.91,89,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:25.910
26,"MARTINEZ DE MAGISTRIS, Maria",13,Stadium Casablanca,4:52.25,67,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:52.250
27,"SERRANO NAVARRO, Matilda",13,C.N.Pedro Franco,5:13.09,54,200m Espalda,F,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,10,2022-2023,1900-01-01 00:05:13.090
1,"LOPEZ HERNANDEZ, Marcos",12,C.N. Iz Cuarte,37.02,202,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:37.020
2,"ALAEZ PEREZ, Hugo",12,E.M. El Olivar,39.04,172,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:39.040
3,"ASIN GARRIDO, Damian",12,E.M. El Olivar,41.60,142,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:41.600
4,"BELTRAN VIEJO, Alonso",12,E.M. El Olivar,43.50,125,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:43.500
5,"LEGORBURO HERNANDEZ, Adrian",12,Stadium Venecia,43.61,124,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:43.610
6,"TELLO GRACIA, Izan",12,C.N. Helios,45.46,109,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:45.460
7,"MANERO DAMAS, Enzo",12,C.N. Helios,45.85,106,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:45.850
8,"MONEDERO OCEJO, Daniel",12,E.M. El Olivar,46.61,101,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:46.610
9,"ARREGUI COMPES, Alberto",12,H2ogo C.N.,47.80,94,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:47.800
10,"BIELSA BUENO, Sahiel",12,C.N. Helios,49.94,82,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:49.940
11,"SANCHEZ PARACHE, Manuel",12,Stadium Casablanca,50.29,80,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:50.290
12,"ESCUDER ALFONSO, Lucas",12,Stadium Casablanca,51.39,75,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:51.390
13,"ELIPE VARGAS, Ruben",12,E.M. El Olivar,51.51,75,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:51.510
14,"BEAMONTE MARTIN, Lucas",12,P. San Agustin,52.28,72,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:52.280
15,"MARTINEZ GOMEZ, Anibal",12,E.M. El Olivar,52.59,70,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:52.590
16,"BENITEZ CABEZUDO, Hernan",12,E.M. El Olivar,53.02,69,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:53.020
17,"ECHEVARRIA JIMENEZ, Nacho",12,E.M. El Olivar,54.29,64,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:54.290
18,"GARCIA GUO, Lucas",12,C.N. Helios,55.52,60,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:55.520
19,"URGEL TABOADA, Iker",12,C.N. Helios,55.54,60,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:55.540
20,"TAULES GINER, Mario",12,E.M. El Olivar,56.06,58,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:56.060
21,"MOLINA GALIANO, Jorge",12,E.M. El Olivar,57.72,53,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:57.720
22,"CUEZVA JORDAN, Diego",12,Stadium Venecia,58.85,50,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:00:58.850
23,"RAMIREZ GIL, Samuel",12,E.M. El Olivar,1:01.36,44,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:01.360
24,"BAGUENA ANTON, Jacobo",12,Stadium Venecia,1:01.89,43,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:01.890
25,"ENGUITA GARCILOPE, Asier",12,Stadium Venecia,1:02.41,42,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:02.410
26,"TOMAS ARNAL, Dario",12,E.M. El Olivar,1:10.07,29,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:10.070
27,"ARRUGA MECUCCI, Leonardo",12,C.N. Helios,1:11.76,27,50m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:11.760
1,"LOPEZ VELEZ, Marcos",11,E.M. El Olivar,1:21.16,204,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:21.160
2,"RODRIGUEZ ARTIEDA, Marcelo",11,C.N. Helios,1:22.89,191,100m Mariposa,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,12,2022-2023,1900-01-01 00:01:22.890
