Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Prueba,M_F,Fecha,Piscina,Competicion,Lugar,Edad,Temporada,Time_stamp
7,"BAGUENA ANTON, Carmen",14,Stadium Venecia,3:52.56,143,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:52.560
8,"GIMENO MONREAL, Victoria",14,E.M. El Olivar,3:54.25,140,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:54.250
9,"ADIEGO PARDILLOS, Ursula",14,E.M. El Olivar,3:56.94,136,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:56.940
10,"MAYOR HERNANDEZ, Carla",14,E.M. El Olivar,4:05.54,122,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:05.540
11,"RUBIO GONZALEZ, Martina",14,P. San Agustin,4:06.16,121,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:06.160
12,"VELA GARCIA, Julia",14,Stadium Venecia,4:07.74,119,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:07.740
13,"HERNANDO TRANCHE, Vega",14,Stadium Venecia,4:14.80,109,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:14.800
14,"CABRERIZO VELA, Carla",14,Stadium Venecia,4:14.97,109,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:14.970
15,"SANCHEZ ROYO, Sofia",14,E.M. El Olivar,4:15.78,108,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:15.780
16,"SCHROPFER CALVO, Adriana",14,H2ogo C.N.,4:16.28,107,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:16.280
17,"POLO BELLIDO, Daniela",14,E.M. El Olivar,4:17.20,106,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:17.200
18,"SARIÑENA SIMON, Lola",14,Stadium Venecia,4:18.31,104,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:18.310
19,"BAIGES FERNANDEZ, Anna",14,P. San Agustin,4:27.44,94,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:27.440
20,"BUENO RODRIGO, Laura",14,H2ogo C.N.,4:35.25,86,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:35.250
21,"BENITEZ CABEZUDO, Leonor",14,E.M. El Olivar,4:41.00,81,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:41.000
22,"BUENO RODRIGO, Alicia",14,H2ogo C.N.,4:49.25,74,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:49.250
23,"LOPEZ HERNANDEZ, Paola",14,C.N. Iz Cuarte,4:57.85,68,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:04:57.850
1,"RODRIGUEZ SOLANAS, Ines",13,E.M. El Olivar,3:12.18,254,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:12.180
2,"MARTIN SORIA, Claudia",13,Stadium Venecia,3:14.70,245,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:14.700
3,"PEREZ GARCIA, Leyre",13,C.D. Piratas Teruel,3:24.12,212,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:24.120
4,"ESCORIHUELA AZNAR, Claudia",13,E.M. El Olivar,3:25.69,207,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:25.690
5,"LEAL PELEGRIN, Julieta",13,E.M. El Olivar,3:33.88,184,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:33.880
6,"RODRIGO MONFORTE, Lucia",13,E.M. El Olivar,3:34.94,182,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:34.940
7,"REMACHA ROYO, Itziar",13,E.M. El Olivar,3:38.47,173,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:38.470
8,"PEREZ LAHUERTA, Candela",13,C.N. Helios,3:40.31,169,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:40.310
9,"DEL BARRIO MIGUEL, Vera",13,Stadium Venecia,3:43.81,161,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:43.810
10,"RODRIGO LORENTE, Claudia",13,Stadium Venecia,3:45.44,157,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:45.440
11,"ZAPATA FERNANDEZ, Jara",13,Stadium Venecia,3:45.86,157,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:45.860
12,"GIMENO GOMEZ, Yaretzi Izel",13,P. San Agustin,3:47.47,153,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:47.470
13,"MARTINEZ MARQUES, Aimar Teresa",13,Stadium Venecia,3:48.82,151,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:48.820
14,"BORREGUERO PEDREIRA, Leire",13,E.M. El Olivar,3:55.84,137,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:03:55.840
15,"SEGURA GRACIA, Silvia",13,E.M. El Olivar,4:04.67,123,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:04.670
16,"NACHER PEREZ, Laia",13,C.N. Iz Cuarte,4:07.41,119,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:07.410
17,"MARIN CORTES, Nerea",13,Stadium Venecia,4:10.88,114,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:10.880
18,"ARANDA ARIAS, Marta",13,C.N. Iz Cuarte,4:14.48,109,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:14.480
19,"GARCIA RODRIGUEZ, Aroa",13,C.N. Helios,4:18.20,105,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:18.200
20,"GALAY TORRIJO, Celia",13,Stadium Venecia,4:18.28,105,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:18.280
21,"ALONSO TELLERIA, Marina",13,P. San Agustin,4:22.62,99,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:22.620
22,"PEREZ BOSQUED, Nuria",13,Stadium Venecia,4:24.59,97,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,10,2022-2023,1900-01-01 00:04:24.590
